<unk>	0
<s>	0
</s>	0
,	-3.47733
▁	-3.67814
.	-3.72228
▁ਹੈ	-4.21574
:	-4.38285
▁ਦੇ	-4.50985
▁ਨੂੰ	-4.60504
▁ਲਈ	-4.61338
-	-4.61755
▁ਅਤੇ	-4.63266
)	-4.80471
▁ਦੀ	-4.84898
s	-5.1049
▁(	-5.17909
▁ਵਿੱਚ	-5.30266
▁ਦਾ	-5.42688
▁ਇੱਕ	-5.44374
▁ਨਾਲ	-5.4469
▁ਕਰਨ	-5.49756
▁ਹਨ	-5.56214
ਾਂ	-5.57436
▁-	-5.59695
ੀ	-5.60624
▁/	-5.64366
▁ਇਸ	-5.64522
ਨ	-5.66092
▁'	-5.7311
▁ਕਿ	-5.7744
▁1	-5.78638
▁ਇਹ	-5.82693
ਸ	-5.87892
;	-5.90615
▁ਤੇ	-5.90779
।	-5.92814
ਤੇ	-5.93764
/	-5.96185
▁ਹੋ	-5.97539
▁ਕਰੋ	-5.97585
ਰ	-6.0251
ਲ	-6.03243
▁kgm	-6.05505
▁ਵਿਚ	-6.10683
▁ਨਹੀਂ	-6.11877
ਕ	-6.12841
▁ਤੋਂ	-6.13235
▁ਜੋ	-6.19544
▁#	-6.19719
▁ਵੀ	-6.20707
(	-6.20988
_	-6.24569
▁ਕਰ	-6.2812
▁।	-6.29091
ਾ	-6.29312
▁ਕੀਤਾ	-6.29833
ੇ	-6.3057
▁2	-6.30865
▁in	-6.31829
▁S	-6.32856
com	-6.3446
▁ਤੁਹਾਨੂੰ	-6.36398
▁ਜਾ	-6.37411
▁ਟੈਟੂ	-6.38995
▁C	-6.4217
ਮ	-6.42889
"	-6.44239
▁ਆਪਣੇ	-6.45602
▁ਸੀ	-6.48566
ਜ਼	-6.4868
Name	-6.52379
▁_	-6.52748
!	-6.53186
%	-6.54976
ਟ	-6.558
▁ਗਿਆ	-6.55979
▁ਹੋਰ	-6.56062
▁"	-6.56568
@	-6.59532
2	-6.6295
▁&	-6.63143
▁3	-6.64108
3	-6.66207
C	-6.66329
▁ਸਾਡੇ	-6.66603
▁ਤੁਸੀਂ	-6.67503
A	-6.68021
▁ਨੇ	-6.70418
ਤ	-6.70481
▁ਜ	-6.70634
a	-6.72567
ਡ	-6.7354
?	-6.75105
▁ਕੇ	-6.7556
▁ਜਾਂ	-6.76131
▁ਪੰਜਾਬੀ	-6.76571
▁ਸਕਦਾ	-6.76622
▁ਕੋਈ	-6.7798
er	-6.78503
▁ਹੀ	-6.78922
▁ਬਹੁਤ	-6.82286
4	-6.83828
▁ਨਾ	-6.84453
▁5	-6.85382
▁ਸਾਰੇ	-6.87811
d	-6.87868
y	-6.88314
S	-6.88716
